Barcode;Όνομα supplier;Κατάσταση;Score;Σελίδα frezyderm.gr;URL;Εναλλακτική 1;Score 1;Εναλλακτική 2;Score 2;Εναλλακτική 3;Score 3
5202888227554;FREZYDERM  AQUA GEL LUBRICANT CARE  50GR;Χειροκίνητο;;AQUA CARE GEL;https://www.frezyderm.gr/omoiopathitiki/euaisthhth-perioxh/aqua-care-gel-lipantiko-kolpou-gia-thn-emmhnopaush/;AQUA CARE GEL;22.9;SELF CARE GEL INTIM LUBRICANT CARE;4.6;VAGINAL GEL PLUS TIGHTENING CARE;-1.3
5202888230189;FREZYDERM  BABY HYDRA MILK 300ML;Ακριβές (GTIN);;BABY HYDRA MILK;https://www.frezyderm.gr/frontida-mwrou/brefiko-galaktoma/baby-hydra-milk-brefiko-galaktwma/;BABY HYDRA MILK;30.0;AC-NORM HYDRA SCREEN SPF 15;-1.0;VOLPADERM AHA MILK;-1.5
5202888227158;FREZYDERM  Body Shower Revitalizing Cleanser 200ml;Ακριβές (GTIN);;BODY SHOWER REVITALIZING CLEANSER;https://www.frezyderm.gr/peripoiisi-somatos/afroloutra/body-shower-katharistiko-swmatos-euaisthhth-epidermida/;BODY SHOWER REVITALIZING CLEANSER;40.6;SENSITIVE KIDS SHOWER BATH;-6.1;SKIN CLEANSER;-7.3
5202888100413;FREZYDERM  Christialen Emulsion 100ml;Ακριβές (GTIN);;CHRISTIALEN EMULSION;https://www.frezyderm.gr/peripoiisi-somatos/galaktomata-somatos/christialen-emulsion-enudatiko-galaktwma-swmatos-200/;CHRISTIALEN EMULSION;19.9;CHRISTIALEN EMULSION;19.9;DE-MAKE UP 4 in 1;-8.5
5202888271199;FREZYDERM  Neck Contour Cream 50ml;Αυτόματο (σίγουρο);25.4;NECK CONTOUR CREAM;https://www.frezyderm.gr/proionta-peripoiisis-prosopou/kremes-prosopou/antigirantikes-kremes/krema-susfiksis-laimou/;NECK CONTOUR CREAM;25.4;BABY CREAM;-6.4;BABY CREAM;-6.4
5202888227394;FREZYDERM ABD REFORM SKIN TENSIONER CR 200ML;Αυτόματο (σίγουρο);57.7;ABD REFORM SKIN TENSIONER CREAM GEL;https://www.frezyderm.gr/proionta-egkumosunhs/kremes-susfikshs-gia-egkuous/abd-reform-skin-tensioner-cream-gel-krema-sisfiksis-somatos/;ABD REFORM SKIN TENSIONER CREAM GEL;57.7;SENSITIVE RED SKIN FACIAL CREAM;-6.3;SENSITIVE RED SKIN TINTED SPF 30 CREAM;-6.3
5202888228117;FREZYDERM Ac-Norm Active Cleanser 150ml;Αυτόματο (σίγουρο);30.0;AC-NORM ACTIVE CLEANSER;https://www.frezyderm.gr/proionta-peripoiisis-prosopou/proionta-katharismou-liparou-dermatos-me-tash-akmhs/ac-norm-active-cleanser-apalo-ygro-katharismou-proswpou/;AC-NORM ACTIVE CLEANSER;30.0;AC-NORM ACTIVE WASH;14.6;AC-NORM ACTIVE FOAM PLUS;4.6
5202888228377;FREZYDERM AC-NORM ACTIVE CLEANSER 200ML;Αυτόματο (σίγουρο);30.0;AC-NORM ACTIVE CLEANSER;https://www.frezyderm.gr/proionta-peripoiisis-prosopou/proionta-katharismou-liparou-dermatos-me-tash-akmhs/ac-norm-active-cleanser-apalo-ygro-katharismou-proswpou/;AC-NORM ACTIVE CLEANSER;30.0;AC-NORM ACTIVE WASH;14.6;AC-NORM ACTIVE FOAM PLUS;4.6
5202888228384;FREZYDERM AC-NORM ACTIVE FOAM PLUS 150ML;Αυτόματο (σίγουρο);39.5;AC-NORM ACTIVE FOAM PLUS;https://www.frezyderm.gr/proionta-peripoiisis-prosopou/proionta-katharismou-liparou-dermatos-me-tash-akmhs/ac-norm-active-foam-plus-afros-katharismou-proswpou/;AC-NORM ACTIVE FOAM PLUS;39.5;AC-NORM ACTIVE CLEANSER;1.9;AC-NORM ACTIVE WASH;1.9
5202888228445;FREZYDERM Ac-Norm Active Wash 50ml;Ακριβές (GTIN);;AC-NORM ACTIVE WASH;https://www.frezyderm.gr/proionta-peripoiisis-prosopou/proionta-katharismou-liparou-dermatos-me-tash-akmhs/ac-norm-active-wash-anydro-tzel-katharismou-proswpou/;AC-NORM ACTIVE WASH;30.7;AC-NORM ACTIVE CLEANSER;14.3;AC-NORM ACTIVE FOAM PLUS;4.3
