Όνομα;Υπότιτλος;Χονδρική τιμή (€);Λιανική τιμή (€);Περιγραφή;Ιδιότητες;Βασικά χαρακτηριστικά;Χρήση;Συστατικά;Προειδοποιήσεις;Συσκευασία;Χαρακτηριστικά;Κατηγορία;Barcode (EAN);Παραλλαγές (variants);Φωτογραφία;URL επίσημου site;Πηγή;Match
Lamberts Griffonia Seed Extract (5-Htp 100mg);Φυσική πηγή 5-HTP (5-υδροξυτρυπτοφάνη);23,50;39,34;Φυσική πηγή 5-HTP (5-υδροξυτρυπτοφάνη);;;;;;;;Αμινοξέα;5055148404383;;lamberts/griffonia-seed-extract-5-htp-100mg-5055148404383.png;https://lamberts.gr/product/griffonia-seed-extract-5-htp-100mg/;lamberts.gr;Αυτόματο
Lamberts Acetyl L Carnitine των 500mg;L-Καρνιτίνη υψηλής καθαρότητας & ελεύθερης μορφής;32,70;54,74;L-Καρνιτίνη υψηλής καθαρότητας & ελεύθερης μορφής;;;;;;;;Αμινοξέα;5055148411060;5055148409401;lamberts/acetyl-l-carnitine-500mg-5055148411060.png;https://lamberts.gr/product/acetyl-l-carnitine-ton-500mg/;lamberts.gr;Αυτόματο
Lamberts Acidophilus Extra 10 30caps;;17,23;28,85;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Acidophilus Extra 10 30caps;;;;;;;;Διάφορα;5055148400095;;lamberts/rosehip-10-000mg-5055148400095.png;;;Χωρίς σελίδα
Lamberts Acidophilus Extra 10 60caps;;27,89;47,51;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Acidophilus Extra 10 60caps;;;;;;;;Διάφορα;5055148411541;5055148405847, 5055148415099;lamberts/rosehip-10-000mg-5055148411541.png;;;Χωρίς σελίδα
Lamberts Biome Balance Everyday;Καθημερινή προστασία του μικροβιώματος (10δις);16,93;28,85;Καθημερινή προστασία του μικροβιώματος (10δις);;;;;;;;Προβιοτικά;5055148411534;5055148405830;lamberts/biome-balance-everyday-30caps-pharm24-gr-5055148411534.jpg;https://lamberts.gr/product/biome-balance-everyday/;lamberts.gr;Για έλεγχο
Lamberts Alpha Lipoic Acid 300mg;Α-λιποϊκό οξύ υψηλής ισχύος;20,76;34,75;Α-λιποϊκό οξύ υψηλής ισχύος;;;;;;;;Διάφορα;5055148409845;;lamberts/alpha-lipoic-acid-300mg-5055148409845.png;https://lamberts.gr/product/alpha-lipoic-acid-300mg/;lamberts.gr;Αυτόματο
Lamberts Ascorbic Acid 250grams;100% Ασκορβικό οξύ σε μορφή σκόνης;20,10;33,65;100% Ασκορβικό οξύ σε μορφή σκόνης;;;;;;;;Διάφορα;5055148400675;;lamberts/ascorbic-acid-250grams-5055148400675.png;https://lamberts.gr/product/ascorbic-acid-250grams/;lamberts.gr;Αυτόματο
Lamberts Aswagandha Complex 6000Mg 60Caps;;19,60;32,81;Συμπλήρωμα διατροφής Lamberts — LAMBERTS ASWAGANDHA COMPLEX 6000MG 60CAPS;;;;;;;;Διάφορα;5055148412982;;;;;Χωρίς σελίδα
Lamberts A-Z Multi Vitamin 20 αναβράζοντα δισκία;;6,75;11,30;Συμπλήρωμα διατροφής Lamberts — LAMBERTS A-Z MULTI VITAMIN 20 αναβράζοντα δισκία;;;;;;;;Διάφορα;5055148408220;;lamberts/multi-vitamin-and-mineral-for-dogs-5055148408220.png;;;Χωρίς σελίδα
Lamberts Vitamin B12 1000μg;Υψηλής ισχύος Βιταμίνη Β12 για περιπτώσεις ανεπάρκειας και έλλειψης;6,60;13,65;Υψηλής ισχύος Βιταμίνη Β12 για περιπτώσεις ανεπάρκειας και έλλειψης;;;;;;;;Βιταμίνες;5055148411497;;lamberts/vitamin-b12-1000-g-30tabs-pharm24-gr-5055148411497.jpg;https://lamberts.gr/product/vitamin-b12-1000mg/;lamberts.gr;Αυτόματο
Lamberts Vitamin B12 100μg;Υψηλής καθαρότητας Βιταμίνη Β12 για την κάλυψη αυξημένων αναγκών;8,85;14,81;Υψηλής καθαρότητας Βιταμίνη Β12 για την κάλυψη αυξημένων αναγκών;;;;;;;;Βιταμίνες;5055148401825;;lamberts/vitamin-b12-100-g-5055148401825.png;https://lamberts.gr/product/vitamin-b12-100mg/;lamberts.gr;Για έλεγχο
Lamberts Calasorb Calcium 800Mg 60Tabs;;9,50;15,90;Συμπλήρωμα διατροφής Lamberts — LAMBERTS CALASORB CALCIUM 800MG 60TABS;;;;;;;;Διάφορα;5055148411749;5055148405618;lamberts/plant-sterols-800mg-5055148411749.png;;;Χωρίς σελίδα
Lamberts Candaway 60tabs;;23,57;40,17;Lamberts Candaway 60tabs - Συμπλήρωμα Διατροφής Συμπλέγματος Βοτάνων & Μπαχαρικών Φυτικής Προέλευσης για τον Έλεγχο του Μικροβιώματος του Πεπτικού;;;;;;;;Διάφορα;5055148407599;5055148408947, 5055148409647;lamberts/candaway-60tabs-pharm24-gr-5055148407599.jpg;https://www.pharm24.gr/lamberts-candaway-60tabs-p-18458.html;pharm24.gr;Χωρίς σελίδα
Lamberts Chewable Calcium 400mg;Μασώμενο Ασβέστιο με D3 και Φρουκτοολιγοσακχαρίτες;10,00;16,75;Μασώμενο Ασβέστιο με D3 και Φρουκτοολιγοσακχαρίτες;;;;;;;;Υγεία Οστών & Αρθρώσεων;5055148401733;;lamberts/chewable-calcium-400mg-5055148401733.png;https://lamberts.gr/product/chewable-calcium-400mg/;lamberts.gr;Αυτόματο
Lamberts Chromium Complex;Σύμπλεγμα Χρωμίου ,Βιταμινών και Μετάλλων;17,72;29,66;Σύμπλεγμα Χρωμίου ,Βιταμινών και Μετάλλων;;;;;;;;Μεταλλικά Στοιχεία;5055148402020;;lamberts/chromium-complex-60tabs-pharm24-gr-5055148402020.jpg;https://lamberts.gr/product/chromium-complex/;lamberts.gr;Αυτόματο
Lamberts Cod Liver Oil 1000mg;Μουρουνέλαιο 5πλης μοριακής απόσταξης;16,70;27,96;Μουρουνέλαιο 5πλης μοριακής απόσταξης;;;;;;;;Ωμέγα Λιπαρά Οξέα;5055148400620;;lamberts/cod-liver-oil-1000mg-5055148400620.png;https://lamberts.gr/product/cod-liver-oil-1000mg/;lamberts.gr;Αυτόματο
Lamberts Co-Enzyme Q10 200mg;Εξαιρετικά υψηλής ισχύος Συνένζυμο Q10 αυξημένης απορρόφησης;50,50;84,50;Εξαιρετικά υψηλής ισχύος Συνένζυμο Q10 αυξημένης απορρόφησης;;;;;;;;Διάφορα;5055148405182;5055148410322;lamberts/co-enzyme-q10-200mg-5055148405182.png;https://lamberts.gr/product/co-enzyme-q10-200mg/;lamberts.gr;Αυτόματο
Lamberts Co-Enzyme Q10 30mg;Συνένζυμο Q10 αυξημένης απορρόφησης;12,97;21,72;Συνένζυμο Q10 αυξημένης απορρόφησης;;;;;;;;Διάφορα;5055148408909;;lamberts/co-enzyme-q10-30mg-5055148408909.png;https://lamberts.gr/product/co-enzyme-q10-30mg/;lamberts.gr;Αυτόματο
Lamberts Cranberry 18.750mg;Υψηλής ισχύος εκχύλισμα Κράνμπερι με Βιταμίνη C;15,10;25,28;Υψηλής ισχύος εκχύλισμα Κράνμπερι με Βιταμίνη C;;;;;;;;Διάφορα;5055148409586;;lamberts/cranberry-18-750mg-5055148409586.png;https://lamberts.gr/product/cranberry-18-750mg/;lamberts.gr;Αυτόματο
Lamberts Cranberry 18.750mg;Υψηλής ισχύος εκχύλισμα Κράνμπερι με Βιταμίνη C;20,00;33,50;Υψηλής ισχύος εκχύλισμα Κράνμπερι με Βιταμίνη C;;;;;;;;Διάφορα;5055148414177;;lamberts/cranberry-18-750mg-5055148414177.png;https://lamberts.gr/product/cranberry-18-750mg/;lamberts.gr;Αυτόματο
Lamberts Cranberry Complex;Εκχύλισμα Σκόνης Κράνμπερι με Βιταμίνη C και FOS;16,61;27,81;Εκχύλισμα Σκόνης Κράνμπερι με Βιταμίνη C και FOS;;;;;;;;Διάφορα;5055148403058;5055148410551;https://lamberts.gr/wp-content/uploads/2025/01/8556-100-hr-LL823-6-1.png;https://lamberts.gr/product/cranberry-complex/;lamberts.gr;Για έλεγχο
Lamberts Dig Acidophilus Extra 4 30Caps;;12,99;22,30;Συμπλήρωμα διατροφής Lamberts — LAMBERTS DIG ACIDOPHILUS EXTRA 4 30CAPS;;;;;;;;Διάφορα;5055148400071;;;;;Χωρίς σελίδα
Lamberts Peppermint Oil Capsules 100mg;Υψηλής καθαρότητας και ισχύος έλαιο Μέντας;11,17;18,70;Υψηλής καθαρότητας και ισχύος έλαιο Μέντας;;;;;;;;Διάφορα;5055148411572;5055148400194;lamberts/soya-isoflavones-50mg-5055148411572.png;https://lamberts.gr/product/peppermint-oil-capsules-100mg/;lamberts.gr;Για έλεγχο
Lamberts Digestizyme, 100caps;;20,92;35,87;Contributes to the smooth working of the digestion process and break down of food matter into its component nutrients.;;;;;;;;Διάφορα;5055148403003;;lamberts/digestizyme-100caps-online-pharmacy-ofarmakopoiosmou-gr-5055148403003.jpg;https://www.ofarmakopoiosmou.gr/en/lamberts-digestizyme-100caps;ofarmakopoiosmou.gr;Χωρίς σελίδα
Lamberts Pure Evening Primrose Oil 1000mg;Έλαιο Νυχτολούλουδου των 1000mg με Βιταμίνη Ε;16,90;28,48;Έλαιο Νυχτολούλουδου των 1000mg με Βιταμίνη Ε;;;;;;;;Διάφορα;5055148400507;;lamberts/evening-primrose-oil-starflower-oil-1000mg-5055148400507.png;https://lamberts.gr/product/pure-evening-primrose-oil-1000mg/;lamberts.gr;Αυτόματο
Lamberts Eyewise® High Strength Lutein 20mg 60tabs;;27,35;45,78;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Eyewise® High Strength Lutein 20mg 60tabs;;;;;;;;Διάφορα;5055148410308;;;;;Χωρίς σελίδα
Lamberts Eyewise® Omega 3 High Strength Lutein & Omega 3s & Vitamin D3 60caps;;24,49;41,00;Συμπλήρωμα διατροφής Lamberts — LAMBERTS Eyewise® Omega 3 High Strength Lutein & Omega 3s & Vitamin D3 60caps;;;;;;;;Διάφορα;5055148411657;;lamberts/high-potency-omega-3s-for-cats-and-dogs-5055148411657.png;;;Χωρίς σελίδα
Lamberts Fema 45Mg*180Tabl.;;37,50;62,78;Συμπλήρωμα διατροφής Lamberts — LAMBERTS FEMA 45MG*180TABL.;;;;;;;;Διάφορα;5055148404925;;;;;Χωρίς σελίδα
Lamberts Flax Seed Oil 1000mg;Υψηλής καθαρότητας έλαιο Λιναρόσπορου ψυχρής έκθλιψης;14,82;24,81;Υψηλής καθαρότητας έλαιο Λιναρόσπορου ψυχρής έκθλιψης;;;;;;;;Διάφορα;5055148402396;;lamberts/flax-seed-oil-1000mg-5055148402396.png;https://lamberts.gr/product/flax-seed-oil-1000mg/;lamberts.gr;Αυτόματο
Lamberts Garlic 8250Mg 60Tabs;;17,90;29,96;Συμπλήρωμα διατροφής Lamberts — LAMBERTS GARLIC 8250MG 60TABS;;;;;;;;Διάφορα;5055148413132;;;;;Χωρίς σελίδα
Lamberts Ginkgo Biloba Extract 6000mg, 60tabs;;13,40;19,08;Lamberts Ginkgo Biloba Extract 6000mg, 60tabs - Συμπλήρωμα Διατροφής για την Καλή Λειτουργία του Κυκλοφορικού & της Μνήμης;;;;;;;;Διάφορα;5055148412999;;lamberts/ginkgo-biloba-extract-6000mg-60tabs-pharm24-gr-5055148412999.jpg;https://www.pharm24.gr/lamberts-ginkgo-biloba-extract-6000mg-60tabs-p-55605.html;pharm24.gr;Χωρίς σελίδα
