Barcode;Όνομα supplier;Κατάσταση;Score;Σελίδα lamberts.gr;URL;Εναλλακτική 1;Score 1;Εναλλακτική 2;Score 2;Εναλλακτική 3;Score 3
5055148404383;LAMBERTS 5-HTP 100mg 60tabs;Αυτόματο (σίγουρο);21.0;Griffonia Seed Extract (5-HTP 100mg);https://lamberts.gr/product/griffonia-seed-extract-5-htp-100mg/;Griffonia Seed Extract (5-HTP 100mg);21.0;Peppermint Oil Capsules 100mg;-10.7;Co-Enzyme Q10 100mg;-10.8
5055148411060;LAMBERTS ACETYL L-CARNITINE 500MG 60CAPS;Αυτόματο (σίγουρο);30.6;Acetyl L Carnitine των 500mg;https://lamberts.gr/product/acetyl-l-carnitine-ton-500mg/;Acetyl L Carnitine των 500mg;30.6;L -Carnitine 500mg;16.8;L-Glutamine 500mg;-5.8
5055148400095;LAMBERTS Acidophilus Extra 10  30caps;Χωρίς σελίδα;;;;Rosehip 10.000mg;-8.3;Echinacea 1000mg;-17.6;Nicotinamide 250mg;-17.6
5055148411541;LAMBERTS Acidophilus Extra 10  60caps;Χωρίς σελίδα;;;;Rosehip 10.000mg;-8.3;Echinacea 1000mg;-17.6;Nicotinamide 250mg;-17.6
5055148411534;LAMBERTS ACIDOPHILUS EXTRA10(MILK FREE)30CAPS;Αυτόματο (για έλεγχο);19.5;Biome Balance Everyday;https://lamberts.gr/product/biome-balance-everyday/;Biome Balance Everyday;19.5;Biome Balance Everyday Ultra;18.1;Biome Balance Everyday Ultra;16.0
5055148409845;LAMBERTS ALPHA LIPOIC ACID 300MG 90TABS;Αυτόματο (σίγουρο);37.1;Alpha Lipoic Acid 300mg;https://lamberts.gr/product/alpha-lipoic-acid-300mg/;Alpha Lipoic Acid 300mg;37.1;Ascorbic Acid 250grams;-10.6;BCAA - Branch Chain Amino Acids;-14.0
5055148400675;LAMBERTS ASCORBIC ACID 250GR NEW;Αυτόματο (σίγουρο);11.6;Ascorbic Acid 250grams;https://lamberts.gr/product/ascorbic-acid-250grams/;Ascorbic Acid 250grams;11.6;BCAA - Branch Chain Amino Acids;-10.0;Folic Acid 400μg;-11.2
5055148412982;LAMBERTS ASWAGANDHA COMPLEX 6000MG 60CAPS;Χωρίς σελίδα;;;;Ashwagandha Advance;1.7;Cranberry Complex;-6.3;Chromium Complex;-6.3
5055148408220;LAMBERTS A-Z MULTI VITAMIN 20 αναβράζοντα δισκία;Χωρίς σελίδα;;;;Multi Vitamin AtoZ effervescent tabs;2.0;AtoZ Multivitamin;-10.9;Electrolytes αναβράζοντα δισκία με Γεύση Λεμόνι;-11.4
5055148411497;LAMBERTS B-12 1000MCG 30TABS (METHILCOBALAMIN);Αυτόματο (σίγουρο);18.6;Vitamin B12 1000μg;https://lamberts.gr/product/vitamin-b12-1000mg/;Vitamin B12 1000μg;18.6;Vitamin B12 100μg;3.4;Vitamin B-50 Complex;-7.5
