Όνομα;Χονδρική τιμή (€);Περιγραφή;Κατηγορία;Barcode (EAN);Φωτογραφία;URL επίσημου site
;;;Ανδρική Περιποίηση;5204559009971;;https://www.vican.gr/el/wise-men-fresh-eau-de-toilette-100ml-shower-gel-250ml-soya-candle-fresh-doro-5204559009971.html
;;;Ανδρική Περιποίηση;5204559009872;;https://www.vican.gr/el/wise-men-spicy-eau-de-toilette-100ml-shower-gel-250ml-soya-candle-spicy-doro-5204559009872.html
;;;Ανδρική Περιποίηση;5204559051680;;https://www.vican.gr/el/wise-men-dry-scalp-shampoo-5204559051680.html
WISE MEN ANTI-DANDRUFF SHAMPOO;;Εξειδικευμένο σαμπουάν για την αντιμετώπιση της πιτυρίδας με καινοτόμο, φιλικό προς το περιβάλλον αντιπιτυριδικό παράγοντα. Προσφέρει ορατή και αποτελεσματική μείωση της πιτυρίδας και βοηθά στην ισορροπία του μικροβιώματος του τριχωτού της κεφαλής, συμβάλλοντας έτσι στη μη επανεμφάνισή της. Είναι εμπλουτισμένο με συστατικά που καταπραΰνουν τους ερεθισμούς και το αίσθημα κνησμού και φυτικά έλαια που θρέφουν και ενυδατώνουν την τρίχα.;Ανδρική Περιποίηση;5204559051673;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051673_1_t20251103112000.jpg;https://www.vican.gr/el/wise-men-anti-dandruff-shampoo-5204559051673.html
WISE MEN NATURAL DEO BODY SPRAY;;Αποσμητικό spray δίχως άλατα αλουμινίου σχεδιασμένο για όλο το σώμα και την ευαίσθητη περιοχή του άνδρα που παράλληλα προστατεύει από την υπερβολική εφίδρωση, χωρίς να φράζουν οι πόροι. Η ενεργή του σύνθεση με καινοτόμους αποσμητικούς παράγοντες συμβάλλει στη μείωση των δυσάρεστων οσμών προσφέροντας μία αίσθηση φρεσκάδας και αναζωογόνησης που διαρκεί. Εμπλουτισμένο με αλόη και πανθενόλη για απαλότητα και ενυδάτωση, καθώς και με εκχυλίσματα φασκόμηλου και πρόπολης που παραδοσιακά προστατεύουν την επιδερμίδα.;Ανδρική Περιποίηση;5204559051642;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051642_1_t20240418112000.jpg;https://www.vican.gr/el/wise-men-natural-deo-body-spray-5204559051642.html
FATHER & SON HAIRSTYLING BOX WISE MEN VELVET POMADE Strong Hold + ΔΩΡΟ Kids Velvet Pomade;;Promo Pack Wise Men Father & Son Hairstyling Box με ανδρική και παιδική πομάδα για δυνατό και σταθερό κράτημα που διαρκεί. Εφαρμόζεται εύκολα και δίνει λάμψη χωρίς να λαδώνει. Στεγνώνει γρήγορα, δεν αφήνει υπολείμματα, αφαιρείται εύκολα. Για όλους τους τύπους μαλλιών.;Ανδρική Περιποίηση;5204559007274;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559007274_1_t20240405112000.jpg;https://www.vican.gr/el/father-son-hairstyling-box-wise-men-velvet-pomade-strong-hold-doro-kids-velvet-pomade-5204559007274.html
FATHER & SON HAIRSTYLING BOX WISE MEN VELVET POMADE Medium Hold + ΔΩΡΟ Kids Velvet Pomade;;Promo Pack Wise Men Father & Son Hairstyling Box με ανδρική και παιδική πομάδα για δυνατό και σταθερό κράτημα που διαρκεί. Εφαρμόζεται εύκολα και δίνει λάμψη χωρίς να λαδώνει. Στεγνώνει γρήγορα, δεν αφήνει υπολείμματα, αφαιρείται εύκολα. Για όλους τους τύπους μαλλιών.;Ανδρική Περιποίηση;5204559007175;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559007175_1_t20240405112000.jpg;https://www.vican.gr/el/father-son-hairstyling-box-wise-men-velvet-pomade-medium-hold-doro-kids-velvet-pomade-5204559007175.html
WISE MEN KIDS VELVET POMADE;;Παιδική πομάδα για δυνατό και σταθερό κράτημα που διαρκεί. Εφαρμόζεται εύκολα και δίνει λάμψη χωρίς να λαδώνει. Στεγνώνει γρήγορα, δεν αφήνει υπολείμματα, αφαιρείται εύκολα. Για όλους τους τύπους μαλλιών.;Ανδρική Περιποίηση;5204559053004;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559053004_1_t20240401112000.jpg;https://www.vican.gr/el/wise-men-kids-velvet-pomade-5204559053004.html
WISE MEN VELVET POMADE STRONG HOLD;;Πομάδα για extra δυνατό και σταθερό κράτημα που διαρκεί. Εφαρμόζεται εύκολα και δίνει λάμψη χωρίς να λαδώνει. Στεγνώνει γρήγορα, δεν αφήνει υπολείμματα, αφαιρείται εύκολα. Για όλους τους τύπους μαλλιών.;Ανδρική Περιποίηση;5204559051666;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051666_1_t20240401112000.jpg;https://www.vican.gr/el/wise-men-velvet-pomade-strong-hold-5204559051666.html
WISE MEN VELVET POMADE MEDIUM HOLD;;Πομάδα για δυνατό και σταθερό κράτημα που διαρκεί. Εφαρμόζεται εύκολα και δίνει λάμψη χωρίς να λαδώνει. Στεγνώνει γρήγορα, δεν αφήνει υπολείμματα, αφαιρείται εύκολα. Για όλους τους τύπους μαλλιών.;Ανδρική Περιποίηση;5204559051659;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051659_1_t20240401112000.jpg;https://www.vican.gr/el/wise-men-velvet-pomade-medium-hold-5204559051659.html
WISE MEN PREBIOTIC INTIMATE CLEANSER GEL;;Gel καθημερινού καθαρισμού με σεβασμό στο μικροβίωμα της ευαίσθητης περιοχής του άνδρα. Η ενεργή του σύνθεση με καινοτόμο αντιμικροβιακό παράγοντα, Tea Tree Oil, Πρόπολη και Καλέντουλα συμβάλλει στην προστασία από βακτηριακές επιθέσεις και στη μείωση των δυσάρεστων οσμών. Εμπλουτισμένο με πρεβιοτικό παράγοντα που θρέφει και ενισχύει τη φυσική άμυνα υποστηρίζοντας τη μικροβιακή προστατευτική χλωρίδα του δέρματος.;Ανδρική Περιποίηση;5204559051635;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051635_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-prebiotic-intimate-cleanser-gel-5204559051635.html
WISE MEN EAU DE TOILETTE FRESH;;Το eau de toilette της ανδρικής σειράς Wise Men με νότες σανταλόξυλου & musk προσφέρει μία αίσθηση φρεσκάδας και αναζωογόνησης. Ένα μοναδικό άρωμα δερματολογικά ελεγμένο, σε μια κομψή συσκευασία με ξύλινες λεπτομέρειες.;Ανδρική Περιποίηση;5204559516226;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516226_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-eau-de-toilette-fresh-5204559516226.html
WISE MEN EAU DE TOILETTE SPICY;;Το eau de toilette της ανδρικής σειράς Wise Men με νότες κάρδαμου & bitter orange προσφέρει μία αίσθηση φρεσκάδας και αναζωογόνησης. Πικάντικο αλλά ταυτόχρονα και γλυκό, δημιουργεί έναν ιδιαίτερο spicy συνδυασμό που διαρκεί. Ένα μοναδικό άρωμα δερματολογικά ελεγμένο, σε μια κομψή συσκευασία με ξύλινες λεπτομέρειες.;Ανδρική Περιποίηση;5204559516219;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516219_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-eau-de-toilette-spicy-5204559516219.html
WISE MEN AFTER SHAVE BODY LOTION FRESH;;H Wise Men after shave body lotion σώματος συμβάλλει στην ενυδάτωση και καταπράυνση της επιδερμίδας μετά το ξύρισμα. Η μοναδική της σύνθεση φροντίζει τις περιοχές με ερυθρότητα και αφυδάτωση, ενώ χάρη στη μη κολλώδη υφή της απλώνεται εύκολα, χαρίζοντας στην επιδερμίδα βελούδινη υφή. Xάρη στον καινοτόμο ενεργό παράγοντα X-Cool, το δέρμα αποκτά άμεση αίσθηση φρεσκάδας, που διαρκεί. Κατάλληλη για όλο το σώμα και για την ευαίσθητη περιοχή του άντρα. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559516127;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516127_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-after-shave-body-lotion-fresh-5204559516127.html
WISE MEN AFTER SHAVE BODY LOTION SPICY;;H Wise Men after shave body lotion σώματος συμβάλλει στην ενυδάτωση και καταπράυνση της επιδερμίδας μετά το ξύρισμα. Η μοναδική της σύνθεση φροντίζει τις περιοχές με ερυθρότητα και αφυδάτωση, ενώ χάρη στη μη κολλώδη υφή της απλώνεται εύκολα, χαρίζοντας στην επιδερμίδα βελούδινη υφή. Xάρη στον καινοτόμο ενεργό παράγοντα X-Cool, το δέρμα αποκτά άμεση αίσθηση φρεσκάδας, που διαρκεί. Κατάλληλη για όλο το σώμα και για την ευαίσθητη περιοχή του άντρα. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559516110;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516110_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-after-shave-body-lotion-spicy-5204559516110.html
WISE MEN BALD HEAD 3in1 CARE CREAM FRESH;;Κρέμα που προστατεύει και φροντίζει το εκτεθειμένο δέρμα της κεφαλής από τους εξωτερικούς παράγοντες που το ταλαιπωρούν (ηλιακή ακτινοβολία, έντονο κρύο, ατμοσφαιρικοί ρύποι). Η ενεργή της σύνθεση με πρωτοπόρα φυσικά συστατικά και έλαια, συμβάλλει στη μείωση της ξηρότητας, του κνησμού και της αίσθησης «τραβήγματος», ενώ απαλύνει τους μικροερεθισμούς που προκύπτουν από το ξύρισμα. Το καινοτόμο συστατικό SymReboot L19 σέβεται το μικροβίωμα της επιδερμίδας και παράλληλα βοηθά στην ενυδάτωση και τη συνοχή του δέρματος. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559516028;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516028_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-bald-head-3in1-care-cream-fresh-5204559516028.html
WISE MEN BALD HEAD 3in1 CARE CREAM SPICY;;Κρέμα που προστατεύει και φροντίζει το εκτεθειμένο δέρμα της κεφαλής από τους εξωτερικούς παράγοντες που το ταλαιπωρούν (ηλιακή ακτινοβολία, έντονο κρύο, ατμοσφαιρικοί ρύποι). Η ενεργή της σύνθεση με πρωτοπόρα φυσικά συστατικά και έλαια, συμβάλλει στη μείωση της ξηρότητας, του κνησμού και της αίσθησης «τραβήγματος», ενώ απαλύνει τους μικροερεθισμούς που προκύπτουν από το ξύρισμα. Το καινοτόμο συστατικό SymReboot L19 σέβεται το μικροβίωμα της επιδερμίδας και παράλληλα βοηθά στην ενυδάτωση και τη συνοχή του δέρματος. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559516011;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559516011_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-bald-head-3in1-care-cream-spicy-5204559516011.html
WISE MEN BEARD JELLY OIL FRESH;;To Beard Jelly Oil τιθασεύει τα γένια, μαλακώνει κι ενυδατώνει την τρίχα, ενώ επιπλέον τη δυναμώνει και την προστατεύει. Με εξελιγμένη φόρμουλα που απλώνεται εύκολα και απορροφάται γρήγορα, αφήνοντας βελούδινη υφή, χωρίς να αφήνει ίχνη λιπαρότητας. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515922;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515922_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-jelly-oil-fresh-5204559515922.html
WISE MEN BEARD JELLY OIL SPICY;;To Beard Jelly Oil τιθασεύει τα γένια, μαλακώνει κι ενυδατώνει την τρίχα, ενώ επιπλέον τη δυναμώνει και την προστατεύει. Με εξελιγμένη φόρμουλα που απλώνεται εύκολα και απορροφάται γρήγορα, αφήνοντας βελούδινη υφή, χωρίς να αφήνει ίχνη λιπαρότητας. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515915;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515915_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-jelly-oil-spicy-5204559515915.html
WISE MEN SHOWER GEL FRESH;;To αφρόλουτρο Wise Men Shower Gel Fresh βοηθά στη διατήρηση της φυσικής υγρασίας του δέρματος καθαρίζοντας αποτελεσματικά την επιδερμίδα και κρατώντας τη λεία και απαλή. Οι ήπιοι καθαριστικοί του παράγοντες απομακρύνουν τις οσμές και αφήνουν μία αίσθηση φρεσκάδας και δροσιάς στο σώμα. Κατάλληλο για όλους τους τύπους δέρματος. Mε νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515823;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515823_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-shower-gel-fresh-5204559515823.html
WISE MEN SHOWER GEL SPICY;;To αφρόλουτρο Wise Men Shower Gel Spicy βοηθά στη διατήρηση της φυσικής υγρασίας του δέρματος καθαρίζοντας αποτελεσματικά την επιδερμίδα και κρατώντας τη λεία και απαλή. Οι ήπιοι καθαριστικοί του παράγοντες απομακρύνουν τις οσμές και αφήνουν μία αίσθηση φρεσκάδας και δροσιάς στο σώμα. Κατάλληλο για όλους τους τύπους δέρματος. Mε νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515816;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515816_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-shower-gel-spicy-5204559515816.html
WISE MEN BEARD & HAIR SHAMPOO FRESH;;Το Beard & Hair Shampoo της wise men καθαρίζει σε βάθος τα γένια αφήνοντάς τα μαλακά, ενώ παράλληλα θρέφει και προστατεύει την τρίχα από την καθημερινή φυσική ή χημική καταπόνηση. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515625;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515625_1_t20231122112000.jpg;https://www.vican.gr/el/wise-men-beard-hair-shampoo-fresh-5204559515625.html
WISE MEN BEARD & HAIR SHAMPOO SPICY;;Το Beard & Hair Shampoo της wise men καθαρίζει σε βάθος τα γένια αφήνοντάς τα μαλακά, ενώ παράλληλα θρέφει και προστατεύει την τρίχα από την καθημερινή φυσική ή χημική καταπόνηση. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515618;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515618_1_t20231122112000.jpg;https://www.vican.gr/el/wise-men-beard-hair-shampoo-spicy-5204559515618.html
WISE MEN BEARD OIL FRESH;;Λαδάκι που μαλακώνει και δίνει λάμψη στο μούσι του άντρα χωρίς να λαδώνει. Προστατεύει και ενυδατώνει τόσο την επιδερμίδα όσο και την τρίχα, χάρη στα μοναδικά συστατικά του, όπως η Βιταμίνη Ε, το argan oil, το jojoba oil και το αμυγδαλέλαιο. Με νότες σανταλόξυλου και musk.;Ανδρική Περιποίηση;5204559515526;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515526_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-oil-fresh-5204559515526.html
WISE MEN BEARD OIL SPICY;;Λαδάκι που μαλακώνει και δίνει λάμψη στο μούσι του άντρα χωρίς να λαδώνει. Προστατεύει και ενυδατώνει τόσο την επιδερμίδα όσο και την τρίχα, χάρη στα μοναδικά συστατικά του, όπως η Βιταμίνη Ε, το argan oil, το jojoba oil και το αμυγδαλέλαιο. Με νότες κάρδαμου και bitter orange.;Ανδρική Περιποίηση;5204559515519;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559515519_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-beard-oil-spicy-5204559515519.html
WISE MEN ALL IN ONE CREAM;;Το απόλυτο ανδρικό προϊόν 3 σε 1. After-shave, ενυδατική και αντιγηραντική 24ωρη κρέμα προσώπου για ενυδατωμένη, ξεκούραστη και πιο ανθεκτική ανδρική επιδερμίδα. Απορροφάται γρήγορα, δεν αφήνει λιπαρότητα και έχει υπέροχο άρωμα κέδρου.;Ανδρική Περιποίηση;5204559051505;https://www.vican.gr/pub/media/catalog/product/cache/943338449f392e591c2115a51e5b080b/5/2/5204559051505_1_t20230717095735.jpg;https://www.vican.gr/el/wise-men-all-in-one-cream-5204559051505.html
